mpn,size_code,resistance_ohms,tolerance,tcr,power_w,voltage_v,temp_min_c,temp_max_c,length_mm,width_mm,height_mm
AC0201FR-0768K1L,0201,68100,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-076K98L,0201,6980,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07634RL,0201,634,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07294KL,0201,294000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-073K16L,0201,3160,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0775RL,0402,75,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-071KL,0201,1000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0780K6L,0201,80600,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-078K06L,0201,8060,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-071M02L,0201,1020000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-07120KL,0201,120000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-0751KL,0201,51000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0730KL,0201,30000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0739RL,0201,39,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402FR-0710K5L,0402,10500,1%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07316RL,0201,316,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-0718KL,0201,18000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-1310KL,0201,10000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-07110KL,0402,110000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-131KL,0201,1000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07154KL,0201,154000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0721KL,0402,21000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0718K7L,0201,18700,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-0763K4L,0201,63400,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-0782KL,0402,82000,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-0715K8L,0201,15800,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-074K75L,0201,4750,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-07390RL,0201,390,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-133K01L,0201,3010,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201JR-0756KL,0201,56000,5%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-075K49L,0201,5490,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0402DR-073RL,0402,3,0.5%,-/+200 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0402DR-071K6L,0402,1600,0.5%,-/+100 ppm/C,0.063,50,-55,155,1,0.5,0.32
AC0201FR-07180KL,0201,180000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-13220RL,0201,220,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
AC0201FR-1310KL,0201,10000,1%,-/+200 ppm/C,0.05,25,-55,155,0.6,0.3,0.23
