base_mpn,sample_mpn,length_mm,width_mm,thickness_mm,source_url
BLM15BB100,BLM15BB100SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BB100SH1
BLM15BB121,BLM15BB121SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BB121SH1
BLM15BB220,BLM15BB220SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BB220SH1
BLM15BB221,BLM15BB221SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BB221SH1
BLM15BB470,BLM15BB470SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BB470SH1
BLM15BB750,BLM15BB750SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BB750SH1
BLM15BC121,BLM15BC121SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BC121SN1
BLM15BC241,BLM15BC241SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BC241SN1
BLM15BD102,BLM15BD102SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BD102SH1
BLM15BD121,BLM15BD121SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BD121SN1
BLM15BD152,BLM15BD152SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BD152SN1
BLM15BD182,BLM15BD182SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BD182SH1
BLM15BD221,BLM15BD221SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BD221SN1
BLM15BD471,BLM15BD471SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BD471SH1
BLM15BD601,BLM15BD601SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BD601SH1
BLM15BD750,BLM15BD750SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BD750SN1
BLM15BX102,BLM15BX102SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BX102SN1
BLM15BX121,BLM15BX121SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BX121SN1
BLM15BX182,BLM15BX182SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BX182SN1
BLM15BX221,BLM15BX221SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BX221SN1
BLM15BX471,BLM15BX471SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BX471SN1
BLM15BX601,BLM15BX601SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BX601SN1
BLM15BX750,BLM15BX750SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15BX750SN1
BLM15EG121,BLM15EG121SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15EG121SH1
BLM15EG221,BLM15EG221SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15EG221SH1
BLM15EX121,BLM15EX121SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15EX121SN1
BLM15EX221,BLM15EX221SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15EX221SN1
BLM15EX331,BLM15EX331SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15EX331SN1
BLM15EX471,BLM15EX471SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15EX471SN1
BLM15GA750,BLM15GA750SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15GA750SN1
BLM15GG221,BLM15GG221SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15GG221SN1
BLM15GG471,BLM15GG471SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15GG471SN1
BLM15HB121,BLM15HB121SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15HB121SH1
BLM15HB221,BLM15HB221SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15HB221SH1
BLM15HD102,BLM15HD102BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15HD102BH1
BLM15HD182,BLM15HD182BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15HD182BH1
BLM15HD601,BLM15HD601BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15HD601BH1
BLM15HG102,BLM15HG102BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15HG102BH1
BLM15HG601,BLM15HG601BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15HG601BH1
BLM15KD121,BLM15KD121SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15KD121SN1
BLM15KD200,BLM15KD200SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15KD200SN1
BLM15KD300,BLM15KD300SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15KD300SN1
BLM15PD121,BLM15PD121SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PD121SN1
BLM15PD300,BLM15PD300SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PD300SN1
BLM15PD600,BLM15PD600SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PD600SN1
BLM15PD800,BLM15PD800SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PD800SN1
BLM15PE121,BLM15PE121SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PE121SH1
BLM15PE181,BLM15PE181SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PE181SH1
BLM15PE221,BLM15PE221SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PE221SH1
BLM15PE300,BLM15PE300SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PE300SH1
BLM15PE331,BLM15PE331SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PE331SH1
BLM15PE471,BLM15PE471SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PE471SH1
BLM15PE600,BLM15PE600SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PE600SH1
BLM15PE601,BLM15PE601SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PE601SH1
BLM15PE800,BLM15PE800SH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PE800SH1
BLM15PG100,BLM15PG100SN1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PG100SN1
BLM15PX121,BLM15PX121BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PX121BH1
BLM15PX181,BLM15PX181BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PX181BH1
BLM15PX221,BLM15PX221BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PX221BH1
BLM15PX330,BLM15PX330BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PX330BH1
BLM15PX331,BLM15PX331BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PX331BH1
BLM15PX471,BLM15PX471BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PX471BH1
BLM15PX600,BLM15PX600BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PX600BH1
BLM15PX601,BLM15PX601BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PX601BH1
BLM15PX800,BLM15PX800BH1,1.0,0.5,0.5,https://www.murata.com/products/productdetail?partno=BLM15PX800BH1
BLM18AG102,BLM18AG102BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18AG102BH1
BLM18AG121,BLM18AG121BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18AG121BH1
BLM18AG151,BLM18AG151BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18AG151BH1
BLM18AG221,BLM18AG221BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18AG221BH1
BLM18AG331,BLM18AG331BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18AG331BH1
BLM18AG471,BLM18AG471BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18AG471BH1
BLM18AG601,BLM18AG601BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18AG601BH1
BLM18BA050,BLM18BA050SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BA050SH1
BLM18BA100,BLM18BA100SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BA100SH1
BLM18BA121,BLM18BA121SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BA121SH1
BLM18BA220,BLM18BA220SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BA220SH1
BLM18BA470,BLM18BA470SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BA470SH1
BLM18BA750,BLM18BA750SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BA750SH1
BLM18BB050,BLM18BB050SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB050SH1
BLM18BB100,BLM18BB100SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB100SH1
BLM18BB121,BLM18BB121SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB121SH1
BLM18BB141,BLM18BB141SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB141SH1
BLM18BB151,BLM18BB151SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB151SH1
BLM18BB220,BLM18BB220SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB220SH1
BLM18BB221,BLM18BB221SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB221SH1
BLM18BB331,BLM18BB331SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB331SH1
BLM18BB470,BLM18BB470SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB470SH1
BLM18BB471,BLM18BB471SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB471SH1
BLM18BB600,BLM18BB600SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB600SH1
BLM18BB750,BLM18BB750SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BB750SH1
BLM18BD102,BLM18BD102BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD102BH1
BLM18BD121,BLM18BD121BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD121BH1
BLM18BD151,BLM18BD151BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD151BH1
BLM18BD152,BLM18BD152BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD152BH1
BLM18BD182,BLM18BD182BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD182BH1
BLM18BD221,BLM18BD221BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD221BH1
BLM18BD222,BLM18BD222BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD222BH1
BLM18BD252,BLM18BD252BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD252BH1
BLM18BD331,BLM18BD331BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD331BH1
BLM18BD421,BLM18BD421BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD421BH1
BLM18BD470,BLM18BD470BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD470BH1
BLM18BD471,BLM18BD471BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD471BH1
BLM18BD601,BLM18BD601BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18BD601BH1
BLM18DN151,BLM18DN151SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18DN151SH1
BLM18DN221,BLM18DN221SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18DN221SH1
BLM18DN381,BLM18DN381SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18DN381SH1
BLM18DN601,BLM18DN601SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18DN601SH1
BLM18EG101,BLM18EG101TH1,1.6,0.8,0.5,https://www.murata.com/products/productdetail?partno=BLM18EG101TH1
BLM18EG121,BLM18EG121SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18EG121SH1
BLM18EG181,BLM18EG181SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18EG181SH1
BLM18EG221,BLM18EG221SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18EG221SN1
BLM18EG331,BLM18EG331TH1,1.6,0.8,0.5,https://www.murata.com/products/productdetail?partno=BLM18EG331TH1
BLM18EG391,BLM18EG391TH1,1.6,0.8,0.5,https://www.murata.com/products/productdetail?partno=BLM18EG391TH1
BLM18EG471,BLM18EG471SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18EG471SH1
BLM18EG601,BLM18EG601SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18EG601SH1
BLM18GG471,BLM18GG471SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18GG471SN1
BLM18HB121,BLM18HB121SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HB121SN1
BLM18HB221,BLM18HB221SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HB221SN1
BLM18HB331,BLM18HB331SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HB331SN1
BLM18HD102,BLM18HD102SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HD102SH1
BLM18HD471,BLM18HD471SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HD471SH1
BLM18HD601,BLM18HD601SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HD601SH1
BLM18HE102,BLM18HE102SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HE102SH1
BLM18HE152,BLM18HE152SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HE152SH1
BLM18HE601,BLM18HE601SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HE601SH1
BLM18HG102,BLM18HG102SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HG102SH1
BLM18HG471,BLM18HG471SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HG471SH1
BLM18HG601,BLM18HG601SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HG601SH1
BLM18HK102,BLM18HK102SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HK102SN1
BLM18HK331,BLM18HK331SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HK331SN1
BLM18HK471,BLM18HK471SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HK471SN1
BLM18HK601,BLM18HK601SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18HK601SN1
BLM18KG101,BLM18KG101JH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KG101JH1
BLM18KG102,BLM18KG102BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KG102BH1
BLM18KG121,BLM18KG121JH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KG121JH1
BLM18KG221,BLM18KG221BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KG221BH1
BLM18KG260,BLM18KG260JH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KG260JH1
BLM18KG300,BLM18KG300JH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KG300JH1
BLM18KG331,BLM18KG331BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KG331BH1
BLM18KG471,BLM18KG471BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KG471BH1
BLM18KG601,BLM18KG601BH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KG601BH1
BLM18KG700,BLM18KG700JH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KG700JH1
BLM18KN101,BLM18KN101EH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KN101EH1
BLM18KN102,BLM18KN102EH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KN102EH1
BLM18KN121,BLM18KN121EH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KN121EH1
BLM18KN221,BLM18KN221EH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KN221EH1
BLM18KN260,BLM18KN260EH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KN260EH1
BLM18KN300,BLM18KN300EH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KN300EH1
BLM18KN331,BLM18KN331EH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KN331EH1
BLM18KN471,BLM18KN471EH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KN471EH1
BLM18KN601,BLM18KN601EH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18KN601EH1
BLM18KN700,BLM18KN700EH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18KN700EH1
BLM18PG121,BLM18PG121SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18PG121SH1
BLM18PG181,BLM18PG181SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18PG181SH1
BLM18PG221,BLM18PG221SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18PG221SH1
BLM18PG300,BLM18PG300SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18PG300SH1
BLM18PG330,BLM18PG330SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18PG330SH1
BLM18PG331,BLM18PG331SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18PG331SH1
BLM18PG471,BLM18PG471SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18PG471SH1
BLM18PG600,BLM18PG600SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18PG600SH1
BLM18RK102,BLM18RK102SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18RK102SN1
BLM18RK121,BLM18RK121SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18RK121SN1
BLM18RK221,BLM18RK221SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18RK221SN1
BLM18RK471,BLM18RK471SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18RK471SN1
BLM18RK601,BLM18RK601SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18RK601SN1
BLM18SD220,BLM18SD220SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18SD220SN1
BLM18SG121,BLM18SG121TN1,1.6,0.8,0.5,https://www.murata.com/products/productdetail?partno=BLM18SG121TN1
BLM18SG221,BLM18SG221TN1,1.6,0.8,0.5,https://www.murata.com/products/productdetail?partno=BLM18SG221TN1
BLM18SG260,BLM18SG260TN1,1.6,0.8,0.5,https://www.murata.com/products/productdetail?partno=BLM18SG260TN1
BLM18SG330,BLM18SG330SN1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18SG330SN1
BLM18SG331,BLM18SG331TN1,1.6,0.8,0.5,https://www.murata.com/products/productdetail?partno=BLM18SG331TN1
BLM18SG700,BLM18SG700TN1,1.6,0.8,0.5,https://www.murata.com/products/productdetail?partno=BLM18SG700TN1
BLM18SN220,BLM18SN220TH1,1.6,0.8,0.6,https://www.murata.com/products/productdetail?partno=BLM18SN220TH1
BLM18SP101,BLM18SP101SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18SP101SH1
BLM18SP102,BLM18SP102SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18SP102SH1
BLM18SP221,BLM18SP221SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18SP221SH1
BLM18SP300,BLM18SP300SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18SP300SH1
BLM18SP601,BLM18SP601SH1,1.6,0.8,0.8,https://www.murata.com/products/productdetail?partno=BLM18SP601SH1
BLM31KN102,BLM31KN102BH1,3.2,1.6,1.6,https://www.murata.com/products/productdetail?partno=BLM31KN102BH1
BLM31KN121,BLM31KN121BH1,3.2,1.6,1.6,https://www.murata.com/products/productdetail?partno=BLM31KN121BH1
BLM31KN271,BLM31KN271BH1,3.2,1.6,1.6,https://www.murata.com/products/productdetail?partno=BLM31KN271BH1
BLM31KN471,BLM31KN471BH1,3.2,1.6,1.6,https://www.murata.com/products/productdetail?partno=BLM31KN471BH1
BLM31KN601,BLM31KN601BH1,3.2,1.6,1.6,https://www.murata.com/products/productdetail?partno=BLM31KN601BH1
BLM31KN801,BLM31KN801BH1,3.2,1.6,1.6,https://www.murata.com/products/productdetail?partno=BLM31KN801BH1
BLM31PG121,BLM31PG121SH1,3.2,1.6,1.1,https://www.murata.com/products/productdetail?partno=BLM31PG121SH1
BLM31PG330,BLM31PG330SH1,3.2,1.6,1.1,https://www.murata.com/products/productdetail?partno=BLM31PG330SH1
BLM31PG391,BLM31PG391SH1,3.2,1.6,1.1,https://www.murata.com/products/productdetail?partno=BLM31PG391SH1
BLM31PG500,BLM31PG500SH1,3.2,1.6,1.1,https://www.murata.com/products/productdetail?partno=BLM31PG500SH1
BLM31PG601,BLM31PG601SH1,3.2,1.6,1.1,https://www.murata.com/products/productdetail?partno=BLM31PG601SH1
BLM31SN500,BLM31SN500BH1,3.2,1.6,1.1,https://www.murata.com/products/productdetail?partno=BLM31SN500BH1
