MPN,Package,DCR,Current,Impedance
BLM15BA330SZ1,0402,0.4,300mA,33-Ohm @ 100MHz
BLM15BA470SN1,0402,0.6,200mA,47-Ohm @ 100MHz
BLM15BA470SZ1,0402,0.6,200mA,47-Ohm @ 100MHz
BLM15BA750SN1,0402,0.8,200mA,75-Ohm @ 100MHz
BLM15BA750SZ1,0402,0.8,200mA,75-Ohm @ 100MHz
BLM15BB050SH1,0402,0.08,500mA,5-Ohm @ 100MHz
BLM15BB050SN1,0402,0.08,500mA,5-Ohm @ 100MHz
BLM15BB050SZ1,0402,0.08,500mA,5-Ohm @ 100MHz
BLM15BB100SH1,0402,0.1,300mA,10-Ohm @ 100MHz
BLM15BB100SN1,0402,0.1,300mA,10-Ohm @ 100MHz
BLM15BB100SZ1,0402,0.1,300mA,10-Ohm @ 100MHz
BLM15BB121SH1,0402,0.55,300mA,120-Ohm @ 100MHz
BLM15BB121SN1,0402,0.55,300mA,120-Ohm @ 100MHz
BLM15BB121SZ1,0402,0.55,300mA,120-Ohm @ 100MHz
BLM15BB220SH1,0402,0.2,300mA,22-Ohm @ 100MHz
BLM15BB220SN1,0402,0.2,300mA,22-Ohm @ 100MHz
BLM15BB220SZ1,0402,0.2,300mA,22-Ohm @ 100MHz
BLM15BB221SH1,0402,0.8,200mA,220-Ohm @ 100MHz
BLM15BB221SN1,0402,0.8,200mA,220-Ohm @ 100MHz
BLM15BB221SZ1,0402,0.8,200mA,220-Ohm @ 100MHz
BLM15BB470SH1,0402,0.35,300mA,47-Ohm @ 100MHz
BLM15BB470SN1,0402,0.35,300mA,47-Ohm @ 100MHz
BLM15BB470SZ1,0402,0.35,300mA,47-Ohm @ 100MHz
BLM15BB750SH1,0402,0.4,300mA,75-Ohm @ 100MHz
BLM15BB750SN1,0402,0.4,300mA,75-Ohm @ 100MHz
BLM15BB750SZ1,0402,0.4,300mA,75-Ohm @ 100MHz
BLM15BC121SN1,0402,0.45,350mA,120-Ohm @ 100MHz
BLM15BC121SZ1,0402,0.45,350mA,120-Ohm @ 100MHz
BLM15BC241SN1,0402,0.7,250mA,240-Ohm @ 100MHz
BLM15BC241SZ1,0402,0.7,250mA,240-Ohm @ 100MHz
BLM15BD102SH1,0402,0.9,200mA,1000-Ohm @ 100MHz
BLM15BD102SN1,0402,0.9,200mA,1000-Ohm @ 100MHz
BLM15BD102SZ1,0402,0.9,200mA,1000-Ohm @ 100MHz
BLM15BD121SN1,0402,0.3,300mA,120-Ohm @ 100MHz
BLM15BD121SZ1,0402,0.3,300mA,120-Ohm @ 100MHz
BLM15BD152SN1,0402,1,190mA,1500-Ohm @ 100MHz
BLM15BD152SZ1,0402,1,190mA,1500-Ohm @ 100MHz
BLM15BD182SH1,0402,1.4,200mA,1800-Ohm @ 100MHz
BLM15BD182SN1,0402,1.4,100mA,1800-Ohm @ 100MHz
BLM15BD182SZ1,0402,1.4,200mA,1800-Ohm @ 100MHz
BLM15BD221SN1,0402,0.4,300mA,220-Ohm @ 100MHz
BLM15BD221SZ1,0402,0.4,300mA,220-Ohm @ 100MHz
BLM15BD471SH1,0402,0.6,200mA,470-Ohm @ 100MHz
BLM15BD471SN1,0402,0.6,200mA,470-Ohm @ 100MHz
BLM15BD471SZ1,0402,0.6,200mA,470-Ohm @ 100MHz
BLM15BD601SH1,0402,0.65,200mA,600-Ohm @ 100MHz
BLM15BD601SN1,0402,0.65,200mA,600-Ohm @ 100MHz
BLM15BD601SZ1,0402,0.65,200mA,600-Ohm @ 100MHz
BLM15BD750SN1,0402,0.2,300mA,75-Ohm @ 100MHz
BLM15BD750SZ1,0402,0.2,300mA,75-Ohm @ 100MHz
BLM15BX102SN1,0402,0.65,300mA,1000-Ohm @ 100MHz
BLM15BX102SZ1,0402,0.65,300mA,1000-Ohm @ 100MHz
BLM15BX121SN1,0402,0.17,600mA,120-Ohm @ 100MHz
BLM15BX121SZ1,0402,0.17,600mA,120-Ohm @ 100MHz
BLM15BX182SN1,0402,0.9,250mA,1800-Ohm @ 100MHz
BLM15BX182SZ1,0402,0.9,250mA,1800-Ohm @ 100MHz
BLM15BX221SN1,0402,0.27,450mA,220-Ohm @ 100MHz
BLM15BX221SZ1,0402,0.27,450mA,220-Ohm @ 100MHz
BLM15BX471SN1,0402,0.41,350mA,470-Ohm @ 100MHz
BLM15BX471SZ1,0402,0.41,350mA,470-Ohm @ 100MHz
BLM15BX601SN1,0402,0.46,350mA,600-Ohm @ 100MHz
BLM15BX601SZ1,0402,0.46,350mA,600-Ohm @ 100MHz
BLM15BX750SN1,0402,0.15,600mA,75-Ohm @ 100MHz
BLM15BX750SZ1,0402,0.15,600mA,75-Ohm @ 100MHz
BLM15EG121SH1,0402,0.095,1.5A,120-Ohm @ 100MHz
BLM15EG121SN1,0402,0.095,1.5A,120-Ohm @ 100MHz
BLM15EG121SZ1,0402,0.095,1.5A,120-Ohm @ 100MHz
BLM15EG221SH1,0402,0.28,700mA,220-Ohm @ 100MHz
BLM15EG221SN1,0402,0.28,700mA,220-Ohm @ 100MHz
BLM15EG221SZ1,0402,0.28,700mA,220-Ohm @ 100MHz
BLM15EX121SN1,0402,0.075,1.8A,120-Ohm @ 100MHz
BLM15EX221SN1,0402,0.14,1.3A,220-Ohm @ 100MHz
BLM15EX331SN1,0402,0.205,1.1A,330-Ohm @ 100MHz
BLM15EX471SN1,0402,0.28,950mA,470-Ohm @ 100MHz
BLM15GA750SN1,0402,1.3,200mA,75-Ohm @ 100MHz
BLM15GA750SZ1,0402,1.3,200mA,75-Ohm @ 100MHz
BLM15GG221SN1,0402,0.7,300mA,220-Ohm @ 100MHz
BLM15GG221SZ1,0402,0.7,300mA,220-Ohm @ 100MHz
BLM15GG471SN1,0402,1.3,200mA,470-Ohm @ 100MHz
BLM15GG471SZ1,0402,1.3,200mA,470-Ohm @ 100MHz
BLM15HB121SH1,0402,0.7,300mA,120-Ohm @ 100MHz
BLM15HB121SN1,0402,0.7,300mA,120-Ohm @ 100MHz
BLM15HB121SZ1,0402,0.7,300mA,120-Ohm @ 100MHz
BLM15HB221SH1,0402,1,250mA,220-Ohm @ 100MHz
BLM15HB221SN1,0402,1,250mA,220-Ohm @ 100MHz
BLM15HB221SZ1,0402,1,250mA,220-Ohm @ 100MHz
BLM15HD102BH1,0402,1.25,250mA,1000-Ohm @ 100MHz
BLM15HD102SH1,0402,1.25,250mA,1000-Ohm @ 100MHz
BLM15HD102SN1,0402,1.25,250mA,1000-Ohm @ 100MHz
BLM15HD102SZ1,0402,1.25,250mA,1000-Ohm @ 100MHz
BLM15HD182BH1,0402,2,200mA,1800-Ohm @ 100MHz
BLM15HD182SH1,0402,2.2,200mA,1800-Ohm @ 100MHz
BLM15HD182SN1,0402,2.2,200mA,1800-Ohm @ 100MHz
BLM15HD182SZ1,0402,2.2,200mA,1800-Ohm @ 100MHz
BLM15HD601BH1,0402,0.85,300mA,600-Ohm @ 100MHz
BLM15HD601SH1,0402,0.85,300mA,600-Ohm @ 100MHz
BLM15HD601SN1,0402,0.85,300mA,600-Ohm @ 100MHz
BLM15HD601SZ1,0402,0.85,300mA,600-Ohm @ 100MHz
BLM15HG102BH1,0402,1.1,250mA,1000-Ohm @ 100MHz
BLM15HG102SH1,0402,1.1,250mA,1000-Ohm @ 100MHz
BLM15HG102SN1,0402,1.1,250mA,1000-Ohm @ 100MHz
BLM15HG102SZ1,0402,1.1,250mA,1000-Ohm @ 100MHz
BLM15HG601BH1,0402,0.7,300mA,600-Ohm @ 100MHz
BLM15HG601SH1,0402,0.7,300mA,600-Ohm @ 100MHz
BLM15HG601SN1,0402,0.7,300mA,600-Ohm @ 100MHz
BLM15HG601SZ1,0402,0.7,300mA,600-Ohm @ 100MHz
BLM15KD121SN1,0402,0.07,1.5A,120-Ohm @ 100MHz
BLM15KD200SN1,0402,0.011,3.8A,20-Ohm @ 100MHz
BLM15KD300SN1,0402,0.017,3.1A,30-Ohm @ 100MHz
BLM15PD121SN1,0402,0.09,1.3A,120-Ohm @ 100MHz
BLM15PD121SZ1,0402,0.09,1.3A,120-Ohm @ 100MHz
BLM15PD300SN1,0402,0.035,2.2A,30-Ohm @ 100MHz
BLM15PD300SZ1,0402,0.035,2.2A,30-Ohm @ 100MHz
BLM15PD600SN1,0402,0.06,1.7A,60-Ohm @ 100MHz
BLM15PD600SZ1,0402,0.06,1.7A,60-Ohm @ 100MHz
BLM15PD800SN1,0402,0.07,1.5A,80-Ohm @ 100MHz
BLM15PD800SZ1,0402,0.07,1.5A,80-Ohm @ 100MHz
BLM15PE121SH1,0402,0.09,1.5A,120-Ohm @ 100MHz
BLM15PE181SH1,0402,0.14,1.2A,180-Ohm @ 100MHz
BLM15PE221SH1,0402,0.17,1.1A,220-Ohm @ 100MHz
BLM15PE300SH1,0402,0.035,2.3A,30-Ohm @ 100MHz
BLM15PE331SH1,0402,0.21,1A,330-Ohm @ 100MHz
BLM15PE471SH1,0402,0.35,750mA,470-Ohm @ 100MHz
BLM15PE600SH1,0402,0.06,1.8A,60-Ohm @ 100MHz
BLM15PE601SH1,0402,0.4,700mA,600-Ohm @ 100MHz
BLM15PE800SH1,0402,0.07,1.7A,80-Ohm @ 100MHz
BLM15PG100SN1,0402,0.025,1A,10-Ohm @ 100MHz
BLM15PG100SZ1,0402,0.025,1A,10-Ohm @ 100MHz
BLM15PX121BH1,0402,0.055,2A,120-Ohm @ 100MHz
BLM15PX121SH1,0402,0.055,2A,120-Ohm @ 100MHz
BLM15PX121SN1,0402,0.055,2A,120-Ohm @ 100MHz
BLM15PX121SZ1,0402,0.055,2A,120-Ohm @ 100MHz
BLM15PX181BH1,0402,0.09,1.5A,180-Ohm @ 100MHz
BLM15PX181SH1,0402,0.09,1.5A,180-Ohm @ 100MHz
BLM15PX181SN1,0402,0.09,1.5A,180-Ohm @ 100MHz
BLM15PX181SZ1,0402,0.09,1.5A,180-Ohm @ 100MHz
BLM15PX221BH1,0402,0.1,1.4A,220-Ohm @ 100MHz
BLM15PX221SH1,0402,0.1,1.4A,220-Ohm @ 100MHz
BLM15PX221SN1,0402,0.1,1.4A,220-Ohm @ 100MHz
BLM15PX221SZ1,0402,0.1,1.4A,220-Ohm @ 100MHz
BLM15PX330BH1,0402,0.022,3A,33-Ohm @ 100MHz
BLM15PX330SH1,0402,0.022,3A,33-Ohm @ 100MHz
BLM15PX330SN1,0402,0.022,3A,33-Ohm @ 100MHz
BLM15PX330SZ1,0402,0.022,3A,33-Ohm @ 100MHz
BLM15PX331BH1,0402,0.15,1.2A,330-Ohm @ 100MHz
BLM15PX331SH1,0402,0.15,1.2A,330-Ohm @ 100MHz
BLM15PX331SN1,0402,0.15,1.2A,330-Ohm @ 100MHz
BLM15PX331SZ1,0402,0.15,1.2A,330-Ohm @ 100MHz
BLM15PX471BH1,0402,0.2,1A,470-Ohm @ 100MHz
BLM15PX471SH1,0402,0.2,1A,470-Ohm @ 100MHz
BLM15PX471SN1,0402,0.2,1A,470-Ohm @ 100MHz
BLM15PX471SZ1,0402,0.2,1A,470-Ohm @ 100MHz
BLM15PX600BH1,0402,0.032,2.5A,60-Ohm @ 100MHz
BLM15PX600SH1,0402,0.032,2.5A,60-Ohm @ 100MHz
BLM15PX600SN1,0402,0.032,2.5A,60-Ohm @ 100MHz
BLM15PX600SZ1,0402,0.032,2.5A,60-Ohm @ 100MHz
BLM15PX601BH1,0402,0.23,900mA,600-Ohm @ 100MHz
BLM15PX601SH1,0402,0.23,900mA,600-Ohm @ 100MHz
BLM15PX601SN1,0402,0.23,900mA,600-Ohm @ 100MHz
BLM15PX601SZ1,0402,0.23,900mA,600-Ohm @ 100MHz
BLM15PX800BH1,0402,0.038,2.3A,80-Ohm @ 100MHz
BLM15PX800SH1,0402,0.038,2.3A,80-Ohm @ 100MHz
BLM15PX800SN1,0402,0.038,2.3A,80-Ohm @ 100MHz
BLM15PX800SZ1,0402,0.038,2.3A,80-Ohm @ 100MHz
BLM18AG102BH1,0603,0.5,450mA,1000-OHM @ 100MHz
BLM18AG102SH1,0603,0.5,450mA,1000-OHM @ 100MHz
BLM18AG102SN1,0603,0.5,450mA,1000-OHM @ 100MHz
BLM18AG102SZ1,0603,0.5,450mA,1000-OHM @ 100MHz
BLM18AG121BH1,0603,0.18,800mA,120-OHM @ 100MHz
BLM18AG121SH1,0603,0.18,800mA,120-OHM @ 100MHz
BLM18AG121SN1,0603,0.18,800mA,120-OHM @ 100MHz
BLM18AG121SZ1,0603,0.18,800mA,120-OHM @ 100MHz
BLM18AG151BH1,0603,0.25,700mA,150-OHM @ 100MHz
BLM18AG151SH1,0603,0.25,700mA,150-OHM @ 100MHz
BLM18AG151SN1,0603,0.25,700mA,150-OHM @ 100MHz
BLM18AG151SZ1,0603,0.25,700mA,150-OHM @ 100MHz
BLM18AG221BH1,0603,0.25,700mA,220-OHM @ 100MHz
BLM18AG221SH1,0603,0.25,700mA,220-OHM @ 100MHz
BLM18AG221SN1,0603,0.25,700mA,220-OHM @ 100MHz
BLM18AG221SZ1,0603,0.25,700mA,220-OHM @ 100MHz
BLM18AG331BH1,0603,0.3,600mA,330-OHM @ 100MHz
BLM18AG331SH1,0603,0.3,600mA,330-OHM @ 100MHz
BLM18AG331SN1,0603,0.3,600mA,330-OHM @ 100MHz
BLM18AG331SZ1,0603,0.3,600mA,330-OHM @ 100MHz
BLM18AG471BH1,0603,0.35,550mA,470-OHM @ 100MHz
BLM18AG471SH1,0603,0.35,550mA,470-OHM @ 100MHz
BLM18AG471SN1,0603,0.35,550mA,470-OHM @ 100MHz
BLM18AG471SZ1,0603,0.35,550mA,470-OHM @ 100MHz
BLM18AG601BH1,0603,0.38,500mA,600-OHM @ 100MHz
BLM18AG601SH1,0603,0.38,500mA,600-OHM @ 100MHz
BLM18AG601SN1,0603,0.38,500mA,600-OHM @ 100MHz
BLM18AG601SZ1,0603,0.38,500mA,600-OHM @ 100MHz
BLM18BA050SH1,0603,0.2,500mA,5-OHM @ 100MHz
BLM18BA050SN1,0603,0.2,500mA,5-OHM @ 100MHz
BLM18BA050SZ1,0603,0.2,500mA,5-OHM @ 100MHz
BLM18BA100SH1,0603,0.25,500mA,10-OHM @ 100MHz
BLM18BA100SN1,0603,0.25,500mA,10-OHM @ 100MHz
BLM18BA100SZ1,0603,0.25,500mA,10-OHM @ 100MHz
BLM18BA121SH1,0603,0.9,200mA,120-OHM @ 100MHz
BLM18BA121SN1,0603,0.9,200mA,120-OHM @ 100MHz
BLM18BA121SZ1,0603,0.9,200mA,120-OHM @ 100MHz
BLM18BA220SH1,0603,0.35,500mA,22-OHM @ 100MHz
BLM18BA220SN1,0603,0.35,500mA,22-OHM @ 100MHz
BLM18BA220SZ1,0603,0.35,500mA,22-OHM @ 100MHz
BLM18BA470SH1,0603,0.55,300mA,47-OHM @ 100MHz
BLM18BA470SN1,0603,0.55,300mA,47-OHM @ 100MHz
BLM18BA470SZ1,0603,0.55,300mA,47-OHM @ 100MHz
BLM18BA750SH1,0603,0.7,300mA,75-OHM @ 100MHz
BLM18BA750SN1,0603,0.7,300mA,75-OHM @ 100MHz
BLM18BA750SZ1,0603,0.7,300mA,75-OHM @ 100MHz
BLM18BB050SH1,0603,0.05,800mA,5-OHM @ 100MHz
BLM18BB050SN1,0603,0.05,800mA,5-OHM @ 100MHz
BLM18BB050SZ1,0603,0.05,800mA,5-OHM @ 100MHz
BLM18BB100SH1,0603,0.1,700mA,10-OHM @ 100MHz
BLM18BB100SN1,0603,0.1,700mA,10-OHM @ 100MHz
BLM18BB100SZ1,0603,0.1,700mA,10-OHM @ 100MHz
BLM18BB121SH1,0603,0.3,550mA,120-OHM @ 100MHz
BLM18BB121SN1,0603,0.3,550mA,120-OHM @ 100MHz
BLM18BB121SZ1,0603,0.3,550mA,120-OHM @ 100MHz
BLM18BB141SH1,0603,0.35,500mA,140-OHM @ 100MHz
BLM18BB141SN1,0603,0.35,500mA,140-OHM @ 100MHz
BLM18BB141SZ1,0603,0.35,500mA,140-OHM @ 100MHz
BLM18BB151SH1,0603,0.37,450mA,150-OHM @ 100MHz
BLM18BB151SN1,0603,0.37,450mA,150-OHM @ 100MHz
BLM18BB151SZ1,0603,0.37,450mA,150-OHM @ 100MHz
BLM18BB220SH1,0603,0.2,700mA,22-OHM @ 100MHz
BLM18BB220SN1,0603,0.2,700mA,22-OHM @ 100MHz
BLM18BB220SZ1,0603,0.2,700mA,22-OHM @ 100MHz
BLM18BB221SH1,0603,0.45,450mA,220-OHM @ 100MHz
BLM18BB221SN1,0603,0.45,450mA,220-OHM @ 100MHz
BLM18BB221SZ1,0603,0.45,450mA,220-OHM @ 100MHz
BLM18BB331SH1,0603,0.58,400mA,330-OHM @ 100MHz
BLM18BB331SN1,0603,0.58,400mA,330-OHM @ 100MHz
BLM18BB331SZ1,0603,0.58,400mA,330-OHM @ 100MHz
BLM18BB470SH1,0603,0.25,600mA,47-OHM @ 100MHz
BLM18BB470SN1,0603,0.25,600mA,47-OHM @ 100MHz
BLM18BB470SZ1,0603,0.25,600mA,47-OHM @ 100MHz
BLM18BB471SH1,0603,0.85,300mA,470-OHM @ 100MHz
BLM18BB471SN1,0603,0.85,300mA,470-OHM @ 100MHz
BLM18BB471SZ1,0603,0.85,300mA,470-OHM @ 100MHz
BLM18BB600SH1,0603,0.25,600mA,60-OHM @ 100MHz
BLM18BB600SN1,0603,0.25,600mA,60-OHM @ 100MHz
BLM18BB600SZ1,0603,0.25,600mA,60-OHM @ 100MHz
BLM18BB750SH1,0603,0.3,600mA,75-OHM @ 100MHz
BLM18BB750SN1,0603,0.3,600mA,75-OHM @ 100MHz
BLM18BB750SZ1,0603,0.3,600mA,75-OHM @ 100MHz
BLM18BD102BH1,0603,0.85,200mA,1000-OHM @ 100MHz
BLM18BD102SH1,0603,0.85,200mA,1000-OHM @ 100MHz
BLM18BD102SN1,0603,0.85,200mA,1000-OHM @ 100MHz
BLM18BD102SZ1,0603,0.85,200mA,1000-OHM @ 100MHz
BLM18BD121BH1,0603,0.4,300mA,120-OHM @ 100MHz
BLM18BD121SH1,0603,0.4,300mA,120-OHM @ 100MHz
BLM18BD121SN1,0603,0.4,300mA,120-OHM @ 100MHz
BLM18BD121SZ1,0603,0.4,300mA,120-OHM @ 100MHz
BLM18BD151BH1,0603,0.4,300mA,150-OHM @ 100MHz
BLM18BD151SH1,0603,0.4,300mA,150-OHM @ 100MHz
BLM18BD151SN1,0603,0.4,300mA,150-OHM @ 100MHz
BLM18BD151SZ1,0603,0.4,300mA,150-OHM @ 100MHz
BLM18BD152BH1,0603,1.2,150mA,1500-OHM @ 100MHz
BLM18BD152SH1,0603,1.2,150mA,1500-OHM @ 100MHz
BLM18BD152SN1,0603,1.2,150mA,1500-OHM @ 100MHz
BLM18BD152SZ1,0603,1.2,150mA,1500-OHM @ 100MHz
BLM18BD182BH1,0603,1.5,150mA,1800-OHM @ 100MHz
BLM18BD182SH1,0603,1.5,150mA,1800-OHM @ 100MHz
BLM18BD182SN1,0603,1.5,150mA,1800-OHM @ 100MHz
BLM18BD182SZ1,0603,1.5,150mA,1800-OHM @ 100MHz
BLM18BD221BH1,0603,0.45,250mA,220-OHM @ 100MHz
BLM18BD221SH1,0603,0.45,250mA,220-OHM @ 100MHz
BLM18BD221SN1,0603,0.45,250mA,220-OHM @ 100MHz
BLM18BD221SZ1,0603,0.45,250mA,220-OHM @ 100MHz
BLM18BD222BH1,0603,1.5,150mA,2200-OHM @ 100MHz
BLM18BD222SH1,0603,1.5,150mA,2200-OHM @ 100MHz
BLM18BD222SN1,0603,1.5,150mA,2200-OHM @ 100MHz
BLM18BD222SZ1,0603,1.5,150mA,2200-OHM @ 100MHz
BLM18BD252BH1,0603,1.5,150mA,2500-OHM @ 100MHz
BLM18BD252SH1,0603,1.5,150mA,2500-OHM @ 100MHz
BLM18BD252SN1,0603,1.5,150mA,2500-OHM @ 100MHz
BLM18BD252SZ1,0603,1.5,150mA,2500-OHM @ 100MHz
BLM18BD331BH1,0603,0.5,250mA,330-OHM @ 100MHz
BLM18BD331SH1,0603,0.5,250mA,330-OHM @ 100MHz
BLM18BD331SN1,0603,0.5,250mA,330-OHM @ 100MHz
BLM18BD331SZ1,0603,0.5,250mA,330-OHM @ 100MHz
BLM18BD421BH1,0603,0.55,250mA,420-OHM @ 100MHz
BLM18BD421SH1,0603,0.55,250mA,420-OHM @ 100MHz
BLM18BD421SN1,0603,0.55,250mA,420-OHM @ 100MHz
BLM18BD421SZ1,0603,0.55,250mA,420-OHM @ 100MHz
BLM18BD470BH1,0603,0.3,500mA,47-OHM @ 100MHz
BLM18BD470SH1,0603,0.3,500mA,47-OHM @ 100MHz
BLM18BD470SN1,0603,0.3,500mA,47-OHM @ 100MHz
BLM18BD470SZ1,0603,0.3,500mA,47-OHM @ 100MHz
BLM18BD471BH1,0603,0.55,250mA,470-OHM @ 100MHz
BLM18BD471SH1,0603,0.55,250mA,470-OHM @ 100MHz
BLM18BD471SN1,0603,0.55,250mA,470-OHM @ 100MHz
BLM18BD471SZ1,0603,0.55,250mA,470-OHM @ 100MHz
BLM18BD601BH1,0603,0.65,200mA,600-OHM @ 100MHz
BLM18BD601SH1,0603,0.65,200mA,600-OHM @ 100MHz
BLM18BD601SN1,0603,0.65,200mA,600-OHM @ 100MHz
BLM18BD601SZ1,0603,0.65,200mA,600-OHM @ 100MHz
BLM18DN151SH1,0603,0.12,1.4A,150-OHM @ 100MHz
BLM18DN151SN1,0603,0.12,1.4A,150-OHM @ 100MHz
BLM18DN151SZ1,0603,0.12,1.4A,150-OHM @ 100MHz
BLM18DN221SH1,0603,0.21,1A,220-OHM @ 100MHz
BLM18DN221SN1,0603,0.21,1A,220-OHM @ 100MHz
BLM18DN221SZ1,0603,0.21,1A,220-OHM @ 100MHz
BLM18DN381SH1,0603,0.325,850mA,380-OHM @ 100MHz
BLM18DN381SN1,0603,0.325,850mA,380-OHM @ 100MHz
BLM18DN381SZ1,0603,0.325,850mA,380-OHM @ 100MHz
BLM18DN601SH1,0603,0.435,700mA,600-OHM @ 100MHz
BLM18DN601SN1,0603,0.435,700mA,600-OHM @ 100MHz
BLM18DN601SZ1,0603,0.435,700mA,600-OHM @ 100MHz
BLM18EG101TH1,0603,0.045,2A,100-OHM @ 100MHz
BLM18EG101TN1,0603,0.045,2A,100-OHM @ 100MHz
BLM18EG101TZ1,0603,0.045,2A,100-OHM @ 100MHz
BLM18EG121SH1,0603,0.04,2A,120-OHM @ 100MHz
BLM18EG121SN1,0603,0.04,2A,120-OHM @ 100MHz
BLM18EG121SZ1,0603,0.04,2A,120-OHM @ 100MHz
BLM18EG181SH1,0603,0.05,2A,180-OHM @ 100MHz
BLM18EG221SN1,0603,0.05,2A,220-OHM @ 100MHz
BLM18EG221SZ1,0603,0.05,2A,220-OHM @ 100MHz
BLM18EG221TH1,0603,0.15,1A,220-OHM @ 100MHz
BLM18EG221TN1,0603,0.15,1A,220-OHM @ 100MHz
BLM18EG221TZ1,0603,0.15,1A,220-OHM @ 100MHz
BLM18EG331TH1,0603,0.21,500mA,330-OHM @ 100MHz
BLM18EG331TN1,0603,0.21,500mA,330-OHM @ 100MHz
BLM18EG331TZ1,0603,0.21,500mA,330-OHM @ 100MHz
BLM18EG391TH1,0603,0.3,500mA,390-OHM @ 100MHz
BLM18EG391TN1,0603,0.3,500mA,390-OHM @ 100MHz
BLM18EG391TZ1,0603,0.3,500mA,390-OHM @ 100MHz
BLM18EG471SH1,0603,0.21,500mA,470-OHM @ 100MHz
BLM18EG471SN1,0603,0.21,500mA,470-OHM @ 100MHz
BLM18EG471SZ1,0603,0.21,500mA,470-OHM @ 100MHz
BLM18EG601SH1,0603,0.35,500mA,600-OHM @ 100MHz
BLM18EG601SN1,0603,0.35,500mA,600-OHM @ 100MHz
BLM18EG601SZ1,0603,0.35,500mA,600-OHM @ 100MHz
BLM18GG471SN1,0603,1.3,200mA,470-OHM @ 100MHz
BLM18GG471SZ1,0603,1.3,200mA,470-OHM @ 100MHz
BLM18HB121SN1,0603,0.5,200mA,120-OHM @ 100MHz
BLM18HB121SZ1,0603,0.5,200mA,120-OHM @ 100MHz
BLM18HB221SN1,0603,0.8,100mA,220-OHM @ 100MHz
BLM18HB221SZ1,0603,0.8,100mA,220-OHM @ 100MHz
BLM18HB331SN1,0603,1.2,50mA,330-OHM @ 100MHz
BLM18HB331SZ1,0603,1.2,50mA,330-OHM @ 100MHz
BLM18HD102SH1,0603,1.8,50mA,1000-OHM @ 100MHz
BLM18HD102SN1,0603,1.8,50mA,1000-OHM @ 100MHz
BLM18HD102SZ1,0603,1.8,50mA,1000-OHM @ 100MHz
BLM18HD471SH1,0603,1.2,100mA,470-OHM @ 100MHz
BLM18HD471SN1,0603,1.2,100mA,470-OHM @ 100MHz
BLM18HD471SZ1,0603,1.2,100mA,470-OHM @ 100MHz
