mpn,manufacturer,package,metric,capacitance_pf,voltage_v,tolerance,dielectric,length_mm,width_mm,height_nominal_mm,height_max_mm,terminal_mm,qualification,features,conditions,datasheet,geometry_source,geometry_id,pad_length_mm,pad_width_mm,pad_gap_mm
GCD188R71E273KA01D,Murata,0603,1608,27000,25,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71E273KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H103MA01D,Murata,0603,1608,10000,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H103MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H122KA01D,Murata,0603,1608,1200,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H122KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H122MA01D,Murata,0603,1608,1200,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H122MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H123KA01D,Murata,0603,1608,12000,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H123KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H123MA01D,Murata,0603,1608,12000,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H123MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H152KA01D,Murata,0603,1608,1500,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H152KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H152MA01D,Murata,0603,1608,1500,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H152MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H153KA01D,Murata,0603,1608,15000,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H153KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H153MA01D,Murata,0603,1608,15000,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H153MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H182KA01D,Murata,0603,1608,1800,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H182KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H182MA01D,Murata,0603,1608,1800,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H182MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H183KA01D,Murata,0603,1608,18000,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H183KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H183MA01D,Murata,0603,1608,18000,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H183MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H222KA01D,Murata,0603,1608,2200,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H222KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H222MA01D,Murata,0603,1608,2200,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H222MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H223KA01D,Murata,0603,1608,22000,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H223KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H223MA01D,Murata,0603,1608,22000,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H223MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H272KA01D,Murata,0603,1608,2700,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H272KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H272MA01D,Murata,0603,1608,2700,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H272MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H332KA01D,Murata,0603,1608,3300,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H332KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H332MA01D,Murata,0603,1608,3300,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H332MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H392KA01D,Murata,0603,1608,3900,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H392KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H392MA01D,Murata,0603,1608,3900,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H392MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H472KA01D,Murata,0603,1608,4700,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H472KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H472MA01D,Murata,0603,1608,4700,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H472MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H562KA01D,Murata,0603,1608,5600,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H562KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H562MA01D,Murata,0603,1608,5600,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H562MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H682KA01D,Murata,0603,1608,6800,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H682KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H682MA01D,Murata,0603,1608,6800,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H682MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H822KA01D,Murata,0603,1608,8200,50,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H822KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R71H822MA01D,Murata,0603,1608,8200,50,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R71H822MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A102KA01D,Murata,0603,1608,1000,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A102KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A102MA01D,Murata,0603,1608,1000,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A102MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A103KA01D,Murata,0603,1608,10000,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A103KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A103MA01D,Murata,0603,1608,10000,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A103MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A122KA01D,Murata,0603,1608,1200,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A122KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A122MA01D,Murata,0603,1608,1200,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A122MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A123KA01D,Murata,0603,1608,12000,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A123KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A123MA01D,Murata,0603,1608,12000,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A123MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A152KA01D,Murata,0603,1608,1500,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A152KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A152MA01D,Murata,0603,1608,1500,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A152MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A153KA01D,Murata,0603,1608,15000,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A153KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A153MA01D,Murata,0603,1608,15000,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A153MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A182KA01D,Murata,0603,1608,1800,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A182KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A182MA01D,Murata,0603,1608,1800,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A182MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A183KA01D,Murata,0603,1608,18000,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A183KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A183MA01D,Murata,0603,1608,18000,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A183MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A222KA01D,Murata,0603,1608,2200,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A222KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A222MA01D,Murata,0603,1608,2200,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A222MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A223KA01D,Murata,0603,1608,22000,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A223KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A223MA01D,Murata,0603,1608,22000,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A223MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A272KA01D,Murata,0603,1608,2700,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A272KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A272MA01D,Murata,0603,1608,2700,100,20%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A272MA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
GCD188R72A332KA01D,Murata,0603,1608,3300,100,10%,X7R,1.6,0.8,0.8,0.9,0.35,AEC-Q200,X7R; MLSC internal series connection,DC voltage rating; apply dielectric bias and temperature curves,https://www.murata.com/en-us/products/productdetail?partno=GCD188R72A332KA01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCD188R72A472KA01-01.pdf; terminal band midpoint; maximum height,GCD,,,
