mpn,size,resistance_ohms,tolerance,tcr,power_w,voltage_v,overload_voltage_v,temp_min_c,temp_max_c,aecq200
RNCF2512BKT50R0,2512,50 ohm,0.1%,+/- 10 ppm,0.75,150,300,-55,155,Compliant
RNCF2512BKE1K00,2512,1 Kohm,0.1%,+/- 25 ppm,0.75,150,300,-55,155,Compliant
RNCF2512BKE10K0,2512,10 Kohm,0.1%,+/- 25 ppm,0.5,150,300,-55,155,Compliant
RNCF2512DTC499K,2512,499 Kohm,0.5%,+/- 50 ppm,0.5,150,300,-55,155,Compliant
RNCF2512DKE2R49,2512,2.49 ohm,0.5%,+/- 25 ppm,1,150,300,-55,155,Compliant
RNCF2512DKE10R0,2512,10 ohm,0.5%,+/- 25 ppm,1,150,300,-55,155,Compliant
RNCF2512DTE51R0,2512,51 ohm,0.5%,+/- 25 ppm,1,150,300,-55,155,Compliant
RNCF2512TKY100R,2512,100 ohm,0.01%,+/- 5 ppm,0.5,150,300,-55,155,Compliant
RNCF2512TKY1K00,2512,1 Kohm,0.01%,+/- 5 ppm,0.5,150,300,-55,155,Compliant
RNCF1206BKC200R,1206,200 ohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKC2K21,1206,2.21 Kohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKC8K66,1206,8.66 Kohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKC63K4,1206,63.4 Kohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTC10R0,1206,10 ohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTC121R,1206,121 ohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTC200R,1206,200 ohm,0.1%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKY1K00,1206,1 Kohm,0.1%,+/- 5 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKT1M00,1206,1 Mohm,0.1%,+/- 10 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE348R,1206,348 ohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE2K20,1206,2.2 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE2K80,1206,2.8 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE5K62,1206,5.62 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE15K0,1206,15 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE17K6,1206,17.6 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE24K3,1206,24.3 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE38K3,1206,38.3 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE174K,1206,174 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BKE1M00,1206,1 Mohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE1K30,1206,1.3 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE2K20,1206,2.2 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE3K32,1206,3.32 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE5K11,1206,5.11 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE5K36,1206,5.36 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE10K5,1206,10.5 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE33K2,1206,33.2 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE47K5,1206,47.5 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE200K,1206,200 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE511K,1206,511 Kohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206BTE1M00,1206,1 Mohm,0.1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206CTE12K1,1206,12.1 Kohm,0.25%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206DTC1K18,1206,1.18 Kohm,0.5%,+/- 50 ppm,0.25,150,300,-55,155,Compliant
RNCF1206DTT562R,1206,562 ohm,0.5%,+/- 10 ppm,0.25,150,300,-55,155,Compliant
RNCF1206DKE9R10,1206,9.1 ohm,0.5%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206DTE6R80,1206,6.8 ohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE51R0,1206,51 ohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE56R0,1206,56 ohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE82R0,1206,82 ohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE200R,1206,200 ohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE249R,1206,249 ohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE1K00,1206,1 Kohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE2K74,1206,2.74 Kohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE3K32,1206,3.32 Kohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE5K49,1206,5.49 Kohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE6K81,1206,6.81 Kohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE17K8,1206,17.8 Kohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206DTE43K0,1206,43 Kohm,0.5%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206FKC24K3,1206,24.3 Kohm,1%,+/- 50 ppm,0.25,150,300,,,Compliant
RNCF1206FTE24K3,1206,24.3 Kohm,1%,+/- 25 ppm,0.25,150,300,,,Compliant
RNCF1206FTE200K,1206,200 Kohm,1%,+/- 25 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKW24R9,1206,24.9 ohm,0.01%,+/- 2 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKW2K00,1206,2 Kohm,0.01%,+/- 2 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKW10K0,1206,10 Kohm,0.01%,+/- 2 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKY24R9,1206,24.9 ohm,0.01%,+/- 5 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKY49R9,1206,49.9 ohm,0.01%,+/- 5 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKY100R,1206,100 ohm,0.01%,+/- 5 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKY150R,1206,150 ohm,0.01%,+/- 5 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKY250R,1206,250 ohm,0.01%,+/- 5 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKY1K00,1206,1 Kohm,0.01%,+/- 5 ppm,0.25,150,300,-55,155,Compliant
RNCF1206TKY4K99,1206,4.99 Kohm,0.01%,+/- 5 ppm,0.25,150,300,-55,155,Compliant
RNCF1210BTC3K57,1210,3.57 Kohm,0.1%,+/- 50 ppm,0.33,150,300,-55,155,Compliant
RNCF1210BTE1K00,1210,1 Kohm,0.1%,+/- 25 ppm,0.33,150,300,-55,155,Compliant
RNCF2010BKE287R,2010,287 ohm,0.1%,+/- 25 ppm,0.33,150,300,-55,155,Compliant
RNCF2010BKE1K00,2010,1 Kohm,0.1%,+/- 25 ppm,0.33,150,300,-55,155,Compliant
RNCF2010BKE4K75,2010,4.75 Kohm,0.1%,+/- 25 ppm,0.33,150,300,-55,155,Compliant
RNCF2010BKE26K1,2010,26.1 Kohm,0.1%,+/- 25 ppm,0.33,150,300,-55,155,Compliant
RNCF2010BKE200K,2010,200 Kohm,0.1%,+/- 25 ppm,0.33,150,300,-55,155,Compliant
RNCF2010DKE1R00,2010,1 ohm,0.5%,+/- 25 ppm,0.33,150,300,-55,155,Compliant
RNCF0402BKE10R0,0402,10 ohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BKE499R,0402,499 ohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BKE2K00,0402,2 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BKE16K0,0402,16 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BKE100K,0402,100 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BKE160K,0402,160 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BKE182K,0402,182 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE33R0,0402,33 ohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE100R,0402,100 ohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE200R,0402,200 ohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE249R,0402,249 ohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE470R,0402,470 ohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE2K20,0402,2.2 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE4K70,0402,4.7 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE5K23,0402,5.23 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE5K36,0402,5.36 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE8K66,0402,8.66 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE24K0,0402,24 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE30K1,0402,30.1 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402BTE100K,0402,100 Kohm,0.1%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTC2K21,0402,2.21 Kohm,0.5%,+/- 50 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DKE20K0,0402,20 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DKE49K9,0402,49.9 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DKE54K9,0402,54.9 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE10R0,0402,10 ohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE15R0,0402,15 ohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE49R9,0402,49.9 ohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE51R0,0402,51 ohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE150R,0402,150 ohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE200R,0402,200 ohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE240R,0402,240 ohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE499R,0402,499 ohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE2K00,0402,2 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE2K21,0402,2.21 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE4K99,0402,4.99 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE5K10,0402,5.1 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE6K04,0402,6.04 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE7K50,0402,7.5 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE8K20,0402,8.2 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE10K2,0402,10.2 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE12K0,0402,12 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE18K0,0402,18 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE20K0,0402,20 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE22K0,0402,22 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE33K0,0402,33 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE33K2,0402,33.2 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402DTE133K,0402,133 Kohm,0.5%,+/- 25 ppm,0.1,50,100,-55,155,Compliant
RNCF0402TKY1K00,0402,1 Kohm,0.01%,+/- 5 ppm,0.1,50,100,-55,155,Compliant
RNCF0603BTC3K01,0603,3.01 Kohm,0.1%,+/- 50 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTC4K99,0603,4.99 Kohm,0.1%,+/- 50 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTC16K0,0603,16 Kohm,0.1%,+/- 50 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTC20K0,0603,20 Kohm,0.1%,+/- 50 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTC38K3,0603,38.3 Kohm,0.1%,+/- 50 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTC39K2,0603,39.2 Kohm,0.1%,+/- 50 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTC51K0,0603,51 Kohm,0.1%,+/- 50 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTC100K,0603,100 Kohm,0.1%,+/- 50 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTY10K0,0603,10 Kohm,0.1%,+/- 5 ppm,0.1,75,150,-55,155,Compliant
RNCF0603BKT20K0,0603,20 Kohm,0.1%,+/- 10 ppm,0.1,75,150,-55,155,Compliant
RNCF0603BKE46R4,0603,46.4 ohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE267R,0603,267 ohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE1K62,0603,1.62 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE2K00,0603,2 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE2K21,0603,2.21 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE3K12,0603,3.12 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE4K22,0603,4.22 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE6K98,0603,6.98 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE10K2,0603,10.2 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE13K8,0603,13.8 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE30K1,0603,30.1 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE71K5,0603,71.5 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE215K,0603,215 Kohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BKE442K,0603,442 Kohm,0.1%,+/- 25 ppm,0.1,75,150,-55,155,Compliant
RNCF0603BTE4R75,0603,4.75 ohm,0.1%,+/- 25 ppm,0.1,75,150,-55,155,Compliant
RNCF0603BTE20R0,0603,20 ohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTE200R,0603,200 ohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
RNCF0603BTE249R,0603,249 ohm,0.1%,+/- 25 ppm,0.166,100,150,-55,155,Compliant
