Catalog / Data Sheet,Part No.,Status,Brand,Apps.,Feature,L x W Size,T(Max.) / mm,Capacitance,Tolerance,Rated Voltage [DC] / V,Temp. Chara.,AEC- Q200
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005c0g1h101j050ba.pdf,C1005C0G1H101J050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,100pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005c0g1h102j050ba.pdf,C1005C0G1H102J050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,1nF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005c0g1h220j050ba.pdf,C1005C0G1H220J050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,22pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005c0g1h221j050ba.pdf,C1005C0G1H221J050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,220pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005c0g1h470j050ba.pdf,C1005C0G1H470J050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,47pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005c0g1h471j050ba.pdf,C1005C0G1H471J050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,470pF,±5%,50,C0G,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r0j475k050bc.pdf,C1005X5R0J475K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.65,4.7μF,±10%,6.3,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1a225k050bc.pdf,C1005X5R1A225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,2.2μF,±10%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1a475k050bc.pdf,C1005X5R1A475K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.65,4.7μF,±10%,10,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1c104k050ba.pdf,C1005X5R1C104K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,100nF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1c224k050bb.pdf,C1005X5R1C224K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,220nF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1c225k050bc.pdf,C1005X5R1C225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,2.2μF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1c473k050ba.pdf,C1005X5R1C473K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,47nF,±10%,16,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1e103k050ba.pdf,C1005X5R1E103K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,10nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1e104k050bc.pdf,C1005X5R1E104K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,100nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,C1005X5R1E105K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,1μF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1e223k050ba.pdf,C1005X5R1E223K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,22nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1e224k050bc.pdf,C1005X5R1E224K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,220nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1e225k050bc.pdf,C1005X5R1E225K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.6,2.2μF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1e473k050ba.pdf,C1005X5R1E473K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,47nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1e474k050bb.pdf,C1005X5R1E474K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,470nF,±10%,25,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1h102k050ba.pdf,C1005X5R1H102K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,1nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1h103k050bb.pdf,C1005X5R1H103K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,10nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1h104k050bb.pdf,C1005X5R1H104K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,100nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1h222k050ba.pdf,C1005X5R1H222K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,2.2nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1h223k050bb.pdf,C1005X5R1H223K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,22nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1h472k050ba.pdf,C1005X5R1H472K050BA,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,4.7nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1h473k050bb.pdf,C1005X5R1H473K050BB,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,47nF,±10%,50,X5R,NO
https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x5r1v105k050bc.pdf,C1005X5R1V105K050BC,Production,TDK,Commercial Grade,General (Up to 75V),1.0mm x 0.5mm [EIA 0402],0.55,1μF,±10%,35,X5R,NO
